"字詞名","注音一式","釋義"
"積極","ㄐㄧ　ㄐㄧˊ","1.意願強烈、主動力行。[例]他對於參與社會公益活動一向很積極。
2.正面的、肯定的。[例]推選好人好事代表，對淨化社會，淳化風俗有積極正面的影響。"
"積漸","ㄐㄧ　ㄐㄧㄢˋ","逐漸累積而成。[例]對於積漸已久的惡習，只要有恆心、毅力，仍是可以改正的。"
"積聚","ㄐㄧ　ㄐㄩˋ","累積聚集。[例]由於投資獲利，他已經積聚了一筆可觀的錢財。"
"積欠","ㄐㄧ　ㄑㄧㄢˋ","累積虧欠。[例]由於經營不善，他的公司積欠銀行一筆龐大的債務。"
"積蓄","ㄐㄧ　ㄒㄩˋ","1.累積儲存。[例]為了救急，他把積蓄多年的存款拿出來了。
2.積聚而來的儲蓄。[例]他手頭上沒有積蓄，只好四處告貸來應急。"
"積重難返","ㄐㄧ　ㄓㄨㄥˋ　ㄋㄢˊ　ㄈㄢˇ","長期所形成的不良習慣或弊病，難以改變。[例]滿清末年由於朝政腐敗，積重難返，終於難逃被推翻的命運。"
"積少成多","ㄐㄧ　ㄕㄠˇ　ㄔㄥˊ　ㄉㄨㄛ","累積少量而成多數。[例]他的薪水雖然微薄，但積少成多，還是可以實現很多計畫的。"
"積壓","ㄐㄧ　ㄧㄚ","長期積存而未處理、解決。[例]勞方對資方長期積壓的不滿，今天終於在協調會上爆發出來了。"
"積鬱","ㄐㄧ　ㄩˋ","1.鬱氣長期積壓在心中。[例]積鬱成疾
2.長期積壓在心中的苦悶、鬱悶。[例]老師的一席話使我心中的積鬱全消。"
"積怨","ㄐㄧ　ㄩㄢˋ","長期累積的怨恨。[例]他們之間的積怨已深，想要重修舊好，是不太可能的。"
"績","ㄐㄧ","1.將麻或其他纖維搓成細線，引申為紡織的意思。[例]紡績、績麻
2.功業、成果。[例]功績、成績、戰績"
"績效","ㄐㄧ　ㄒㄧㄠˋ","工作的成績、效果。[例]績效顯著、績效不彰"
"績學","ㄐㄧ　ㄒㄩㄝˊ","從事學問上的研究。[例]績學之士、績學有成"
"績優","ㄐㄧ　ㄧㄡ","營運狀況穩定且產品品質優良。[例]績優廠商、績優單位"
"蹟","ㄐㄧ","前人所留下來的事物。[例]事蹟、遺蹟、古蹟"
"雞","ㄐㄧ","動物名。鳥綱雞形目。常見的家禽。嘴短，上嘴稍微彎曲。頭部有紅色肉冠，雄雞的肉冠較大。翅膀短，飛行能力不佳。品種繁多，如土雞、來亨雞等。　◎"
"雞婆","ㄐㄧ　ㄆㄛˊ","形容人多事、好管閒事。[例]他太雞婆了，才會惹得一身麻煩。"
"雞皮疙瘩","ㄐㄧ　ㄆㄧˊ　ㄍㄜ　ㄉㄚˊ　","皮膚因為遇冷或受其他刺激而呈點狀突起。因其狀似去毛後的雞皮，故稱為「雞皮疙瘩」。"
"雞皮鶴髮","ㄐㄧ　ㄆㄧˊ　ㄏㄜˋ　ㄈㄚˇ","白頭髮且皮膚上有皺紋。形容老人的形貌。[例]遠處正有一位雞皮鶴髮的老翁，腳步蹣跚的走來。"
"雞毛撢子","ㄐㄧ　ㄇㄠˊ　ㄉㄢˇ　˙ㄗ","以雞毛綁成的撢子，用以清除灰塵。[例]一大早，媽媽便拿著雞毛撢子，清掃家裡。　◎"
"雞毛蒜皮","ㄐㄧ　ㄇㄠˊ　ㄙㄨㄢˋ　ㄆㄧˊ","比喻沒有價值、不重要的小事。[例]他們夫妻倆常為了一些雞毛蒜皮的小事吵架。"
"雞鳴狗盜","ㄐㄧ　ㄇㄧㄥˊ　ㄍㄡˇ　ㄉㄠˋ","學雞叫以報曉，假扮成狗以竊取物品。比喻有某種卑下技能的人，或卑微的技能。典出《史記．卷七十五．孟嘗君傳》。[例]如果只是擁有一些雞鳴狗盜的小本領，是很難成就大事的。"
"雞飛狗跳","ㄐㄧ　ㄈㄟ　ㄍㄡˇ　ㄊㄧㄠˋ","形容場面混亂。[例]父母一不在家，他們兄弟倆馬上在家中鬧得雞飛狗跳，連鄰居都來抗議了。"
"雞蛋裡挑骨頭","ㄐㄧ　ㄉㄢˋ　ㄌㄧˇ　ㄊㄧㄠ　ㄍㄨˊ　˙ㄊㄡ","比喻故意挑剔，找麻煩。[例]他對這件事的批評毫無根據，簡直就是雞蛋裡挑骨頭！"
"雞同鴨講","ㄐㄧ　ㄊㄨㄥˊ　ㄧㄚ　ㄐㄧㄤˇ","比喻彼此無法溝通。[例]他倆的對話根本就是雞同鴨講，怎麼會有結論呢？"
"雞肋","ㄐㄧ　ㄌㄜˋ","雞的肋骨。比喻沒什麼價值，丟棄卻又覺得可惜的事物。[例]我目前的工作，就如同雞肋一樣，食之無味，棄之又可惜。"
"雞冠","ㄐㄧ　ㄍㄨㄢ","雞頭上高起的肉冠。[例]公雞與母雞最大的分別便是公雞有一比母雞高起豐厚的雞冠。◎"
"雞口牛後","ㄐㄧ　ㄎㄡˇ　ㄋㄧㄡˊ　ㄏㄡˋ","比喻寧願做小團體的領袖，而不做大團體中不重要的分子。語本《戰國策．韓策一》。[例]與人結盟，雞口牛後要慎選，國家顏面最重要。"
"雞犬不寧","ㄐㄧ　ㄑㄩㄢˇ　ㄅㄨˋ　ㄋㄧㄥˊ","連雞與狗都不得安寧。比喻被嚴重的騷擾。[例]這些攤販日夜播音，真是弄得大家雞犬不寧。"
"雞犬不留","ㄐㄧ　ㄑㄩㄢˇ　ㄅㄨˋ　ㄌㄧㄡˊ","雞狗都不留活命。比喻殘酷的殺戮或搶劫。[例]敵軍所到之處，傷害無辜百姓至雞犬不留，手段殘酷，令人髮指。"
"雞胸","ㄐㄧ　ㄒㄩㄥ","1.雞的胸部。[例]媽媽以雞胸部分的肉質做成涼拌雞絲。
2.因缺乏維他命Ｄ或鈣質所引起的疾病。發生於孩童發育期，會造成胸骨及肋骨前突的症狀，形似雞胸。[例]這小孩得了雞胸病，嚴重得連走路都有困難。"
"雞眼","ㄐㄧ　ㄧㄢˇ","因角質層增生而形成的小圓硬塊。樣子像雞的眼睛，故稱為「雞眼」。常出現於腳趾及腳底前端，多因鞋子過緊或足骨畸形，長期刺激足部皮膚而引起。易疼痛而妨害行走。[例]他的腳趾上長了雞眼，所以走路一跛一跛的。　△肉刺"
"雞尾酒","ㄐㄧ　ㄨㄟˇ　ㄐㄧㄡˇ","混合不同種類的酒，加以果汁、香料調製而成的飲料。[例]雞尾酒是現今宴會裡常備的飲料。"
"齎","ㄐㄧ","1.贈送。[例]藉寇兵而齎盜糧
2.懷持。[例]齎志以歿"
"躋","ㄐㄧ","登上、升上。[例]躋攀"
"躋身","ㄐㄧ　ㄕㄣ","登上。[例]經過長久的苦練與艱辛的比賽，他終於躋身世界網球好手之列。"
"齏","ㄐㄧ","1.調味用的細碎辛辣食物或菜末，如薑粉、蒜粉、韭菜末等。
2.使成碎末。[例]齏骨粉身
3.細碎的。[例]化為齏粉"
"羈","ㄐㄧ","1.馬絡頭，套住馬口的嘴套。
2.拘束、牽絆。[例]羈束、羈絆、放蕩不羈
3.停留。[例]羈旅、羈留"
"羈絆","ㄐㄧ　ㄅㄢˋ","受牽制而不能脫身。[例]由於親情的羈絆，使他無法放心的到國外求學。"
"羈留","ㄐㄧ　ㄌㄧㄡˊ","1.拘禁、看守。[例]他因涉嫌重大而不能交保，暫時被羈留在看守所裡。
2.滯留在外。[例]他因工作而羈留外地，卻總是掛念著家裡的一切。"
"羈束","ㄐㄧ　ㄕㄨˋ","束縛、約束。[例]我們應該讓他放手一搏，不要給他太多羈束。"
"羈押","ㄐㄧ　ㄧㄚ","法院或檢察官在處理刑事案件時，為執行刑罰、保全事證的真實，或方便訴訟的進行，而對刑事被告依法拘禁，限制其自由。[例]為防止串供，檢察官諭令先行羈押被告，再偵訊其他涉案人員。"
"及","ㄐㄧˊ","1.到、到達。[例]遙不可及、推己及人、目力所及
2.趕得上。[例]及時、及早、迅雷不及掩耳
3.牽涉、有關。[例]波及、涉及、言不及義
4.與、和。[例]這本書有精彩的內容及生動的插圖。"
"及第","ㄐㄧˊ　ㄉㄧˋ","古代稱科舉考試中選為「及第」。[例]進士及第、狀元及第"
"及格","ㄐㄧˊ　ㄍㄜˊ","達到所預定的標準。[例]老師規定此次的隨堂考必須達七十分才算及格。"
"及時","ㄐㄧˊ　ㄕˊ","1.適時趕上。[例]經驗的可貴之處，在於讓我們犯相同的錯誤之前，能及時改正。
2.把握時機。[例]年輕時應及時努力，否則日後悔恨也無法彌補。"
"及早","ㄐㄧˊ　ㄗㄠˇ","趁早。[例]想準時赴約，就得及早出門。"
"伋","ㄐㄧˊ","人名用字。如孔子的孫子孔伋，字子思。"
"汲","ㄐㄧˊ","自井中取水。[例]汲水、汲泉烹茶"
"汲汲","ㄐㄧˊ　ㄐㄧˊ","形容急切的樣子。[例]汲汲於功名利祿。"
"汲汲營營","ㄐㄧˊ　ㄐㄧˊ　ㄧㄥˊ　ㄧㄥˊ","汲汲，勤求不休止的樣子。營營，追逐求取。汲汲營營形容人急切求取名利的樣子。[例]他為了名利，每天汲汲營營，那還能妥善的照顧家庭。"
"汲取","ㄐㄧˊ　ㄑㄩˇ","吸取、吸收。[例]陳老先生不斷的汲取新知，好學不倦的精神不輸給年輕人。"
"汲水","ㄐㄧˊ　ㄕㄨㄟˇ","取水、打水。[例]在還沒有自來水之前，人們通常是從井裡汲水取用。"
"汲引","ㄐㄧˊ　ㄧㄣˇ","人才的引進、提拔。[例]承蒙汲引，無限感激。"
"岌","ㄐㄧˊ","1.山勢高峻。[例]岌峨
2.→岌岌"
"岌岌","ㄐㄧˊ　ㄐㄧˊ","形容情勢十分危險。[例]岌岌可危"
"岌岌可危","ㄐㄧˊ　ㄐㄧˊ　ㄎㄜˇ　ㄨㄟˊ","形容非常危險。[例]這棟古屋在地震之後出現多處裂縫，隨時都有倒塌的可能，情況岌岌可危。"
"笈","ㄐㄧˊ","書箱。[例]負笈"
"級","ㄐㄧˊ","1.等第。[例]高級、特級、輔導級
2.學校按年齡所分的班次。[例]一年級、高年級
3.臺階。[例]石級、階級、拾級而上
4.量詞：(1) 計算臺階、樓梯、塔層等的單位。[例]百級石階　(2) 計算事物分級的單位。[例]地震強度分為七級。"
"級別","ㄐㄧˊ　ㄅㄧㄝˊ","等第的區別。[例]鑽石按照切工、重量、明亮度等分成好幾種級別，價格也因而不同。"
"級會","ㄐㄧˊ　ㄏㄨㄟˋ","同一班級的學生為議決班級事務所開的會議。[例]級會開始，請各位同學踴躍發言。"
"級距","ㄐㄧˊ　ㄐㄩˋ","等級間的差距。[例]政府按照人民收入的高低，分成各種稅率級距。"
"級長","ㄐㄧˊ　ㄓㄤˇ","學校中每一班級的學生代表。由學生互相推選或老師指派，負責管理或執行班級的事務。[例]他在班上表現優良，被推派為級長。　△班長"
"級數","ㄐㄧˊ　ㄕㄨˋ","一串數字依次以加號連接起來所成的式子。如 1+2+3+4+5為等差級數， 2+4+8+16+32為等比級數。"
"級任","ㄐㄧˊ　ㄖㄣˋ","中、小學中負責一個班級學生的管理、訓導責任。[例]級任導師"
"級任導師","ㄐㄧˊ　ㄖㄣˋ　ㄉㄠˇ　ㄕ","中小學校負責輔導管理一個班級的老師。[例]級任導師經常與家長保持聯繫，才可確實了解學生生活的狀況。"
"級任制","ㄐㄧˊ　ㄖㄣˋ　ㄓˋ","由一位教師擔任一個年級的全部或多數課程的教學方式。[例]本校採級任制，由導師擔任該班主要課程。"
"級次","ㄐㄧˊ　ㄘˋ","等級次第。[例]這些水果分級次來賣，價格也相差很多。"
"吉","ㄐㄧˊ","1.美好的，善的。與「凶」相對。[例]吉祥、趨吉避凶、大吉大利
2.姓。"
"吉普車","ㄐㄧˊ　ㄆㄨˇ　ㄔㄜ","一種輕便而堅固的中、小型汽車。性能機動靈活，能適應高低不平的地面。本為軍用，後來發展成為一種廣受歡迎的民用汽車。§英jeep [例]許多人喜歡開著吉普車到野外兜風玩樂。　◎"
"吉他","ㄐㄧˊ　ㄊㄚ","樂器名。一種六弦撥弄樂器，與小提琴同源，由西班牙人在十六世紀時所發明的五弦吉他演變而來。因為簡單易學，頗受年輕人的喜愛。§英guitar[例]他在閒暇時，喜歡拿著吉他自彈自唱。　△六弦琴　◎"
"吉利","ㄐㄧˊ　ㄌㄧˋ","吉祥順利。[例]他們特地挑選了一個吉利的日子搬家。"
"吉魯巴","ㄐㄧˊ　ㄌㄨˇ　ㄅㄚ","一種典型的美式舞蹈。西元1940年流行於美國南部，二次世界大戰後風行於全世界。為四分之四拍的快節奏舞蹈，基本步有點、踏、點、踏、前進、後退大步。舞者的肢體動作十分誇張，且不斷與舞伴換位、轉圈、旋轉。§英jitterbug[例]吉魯巴早已成為舞會中最受歡迎的舞蹈之一。"
"吉光片羽","ㄐㄧˊ　ㄍㄨㄤ　ㄆㄧㄢˋ　ㄩˇ","吉光，古代傳說中的神獸。吉光片羽本指神獸的一小塊皮毛，後比喻殘餘的珍貴文物。[例]在考古學家的眼中，古代遺址中的任何殘留物都是吉光片羽。"
"吉慶","ㄐㄧˊ　ㄑㄧㄥˋ","吉祥喜慶。[例]平安吉慶"
"吉羊","ㄐㄧˊ　ㄒㄧㄤˊ","吉祥。羊為「祥」的古字，今多見於篆刻、春聯等。[例]過年時，父親寫了一幅吉羊如意的春聯貼在大廳牆上。"
"吉祥","ㄐㄧˊ　ㄒㄧㄤˊ","吉利祥瑞。[例]吉祥如意"
"吉兆","ㄐㄧˊ　ㄓㄠˋ","吉祥的徵兆。[例]古人認為天邊出現彩虹是一種昇平的吉兆。"
"吉日","ㄐㄧˊ　ㄖˋ","好日子，吉利的日子。[例]吉日良辰"
"吉人天相","ㄐㄧˊ　ㄖㄣˊ　ㄊㄧㄢ　ㄒㄧㄤˋ","吉善的人自有上天的幫助、保祐。[例]我相信他吉人天相，老天爺會保祐他度過這次的難關。"
"佶","ㄐㄧˊ","→佶屈聱牙"
"佶屈聱牙","ㄐㄧˊ　ㄑㄩ　ㄠˊ　ㄧㄚˊ","佶屈，曲折不順。聱牙，拗口。佶屈聱牙形容文句艱澀，讀起來不順口。[例]這篇文章佶屈聱牙，讀起來非常吃力。"
"吃","ㄐㄧˊ","說話結巴不流利的樣子。[例]口吃"
"即","ㄐㄧˊ","1.靠近、投向。[例]若即若離、可望而不可即    
2.到、登上。[例]即位    
3.當下。[例]立即、即刻、即知即行    
4.就是、便是。[例]俯拾即是、非此即彼    
5.便、就。[例]一觸即發、一發即中    
6.→即使"
"即可","ㄐㄧˊ　ㄎㄜˇ","就可以。[例]這臺全自動洗衣機，只要按下開關即可將衣物全部洗淨並脫水。"
"即刻","ㄐㄧˊ　ㄎㄜˋ","立刻、馬上。[例]一放假，她就恨不得即刻回家與家人團聚。"
"即今","ㄐㄧˊ　ㄐㄧㄣ","現今、此刻。[例]想要做的事即今就做，免得日後徒然懊悔。"
"即將","ㄐㄧˊ　ㄐㄧㄤ","將要、就要。[例]她即將到國外留學，這幾日正忙著向親朋好友道別。"
"即席","ㄐㄧˊ　ㄒㄧˊ","1.就座、就位。[例]司儀請來賓即席之後，便宣布典禮開始。
2.當場。[例]他的口才一流，就算即席演講，也能口若懸河、滔滔不絕。"
"即興","ㄐㄧˊ　ㄒㄧㄥˋ","臨時產生興致。[例]這首即興之作，充分展露出她的才華。"
"即時","ㄐㄧˊ　ㄕˊ","立刻、馬上。[例]長官下令即時行動，不得有誤。"
"即使","ㄐㄧˊ　ㄕˇ","縱使、就算是。[例]如果不能活用，即使學得再多又有什麼用呢？"
"即日","ㄐㄧˊ　ㄖˋ","1.當日。[例]這條法令即日生效。
2.近日，最近幾天之內。[例]劉小姐計劃很久的北歐之旅即日就要成行了，難怪她那麼高興。"
"即位","ㄐㄧˊ　ㄨㄟˋ","帝王、諸侯登位。[例]李世民於玄武門之變後不久，便即位為唐太宗。"
"唧","ㄐㄧˊ","→唧唧、唧筒"
"唧筒","ㄐㄧˊ　ㄊㄨㄥˇ","用來抽取或傳送流體的工具。主要是以吸除或加壓的方式，改變流體的壓力或使其在狹隘的管道中流動的裝置。如幫浦、抽水機等。[例]他利用唧筒汲取地下水使用。"
"革","ㄐㄧˊ","危急。[例]病革"
"亟","ㄐㄧˊ","急切、急迫。[例]亟待、亟需"
"亟待","ㄐㄧˊ　ㄉㄞˋ","迫切等待。[例]這個低收入家庭突生變故，亟待善心人士的援助。"
"亟欲","ㄐㄧˊ　ㄩˋ","非常希望。[例]新來的同事力求表現，亟欲得到老闆的賞識。"
"亟需","ㄐㄧˊ　ㄒㄩ","迫切需要。[例]他的腎臟功能已經衰竭，亟需進行移植手術。"
"亟思","ㄐㄧˊ　ㄙ","1.急切的渴望。[例]他在外多年，亟思返家。
2.急切的思考。[例]他做事認真負責，遇到困難便亟思解決的方法，絕不放棄。"
"極","ㄐㄧˊ","1.頂點、最高處。[例]登峰造極
2.地球的南北兩端。[例]南極、北極
3.電池的兩端，產生負電的為「陰極」，產生正電的為「陽極」。
4.窮盡、達到最高點。[例]位極人臣
5.最高的、最終的。[例]極度、極端
6.很、甚。接形容詞、副詞後面。[例]妙極了！
7.表示達到最高度。[例]極機密、極重要"
"極品","ㄐㄧˊ　ㄆㄧㄣˇ","最高級的、最上等的。[例]這種人參號稱極品，價錢一定不便宜吧！"
"極目","ㄐㄧˊ　ㄇㄨˋ","窮盡眼力眺望。[例]極目遠望"
"極地","ㄐㄧˊ　ㄉㄧˋ","地球南北兩極圈內的地區。此區氣候寒冷，最高月平均溫度為攝氏十度，海陸皆為冰雪覆蓋，少有植物生長，也不適合人居住。[例]大地科學家預備到極地去探險，發掘地球生命史。"
"極點","ㄐㄧˊ　ㄉㄧㄢˇ","事物的最高限度。[例]這位明星一出現，全場觀眾的情緒便沸騰到極點。"
"極度","ㄐㄧˊ　ㄉㄨˋ","程度很深。[例]此次水患災情嚴重，院長表示極度關切。"
"極端","ㄐㄧˊ　ㄉㄨㄢ","1.物體的端頭、頂點。[例]子午線是一條通過地球南北極端的假想線。
2.非常，達到極點。[例]他接待顧客極端熱忱，深得經理的欣賞、倚重。
3.偏向一方的言行。[例]他的個性偏激，常走極端，當心招來不良的後果。"
"極樂","ㄐㄧˊ　ㄌㄜˋ","1.非常快樂。[例]金榜題名是人生極樂的事。
2.佛教經典指阿彌陀佛依願力所形成的圓滿世界。[例]早登極樂"
"極樂世界","ㄐㄧˊ　ㄌㄜˋ　ㄕˋ　ㄐㄧㄝˋ","佛教經典中記載由阿彌陀佛在西方依願力所形成的圓滿世界。[例]佛教常以極樂世界的教義，來鼓勵人們多多行善。"
